docid,language,num_cells,num_code_cells,num_md_cells,len_md_text
NB_b197fd947f3c6a5d72dafbfadab32697bef7abfdc4474033c3085acec02ce532,python,20,16,4,13
NB_104a29f24c1e79fc1e3d0247cd43e04f965b887eda4f405f7a4268660a4c3e56,python,6,6,0,0
NB_2aedd35f069e2ddb1c549cd1b2b1f92ae3a1400b24c20a683f7c4f432348fae0,python,10,6,4,4
NB_0d73d7eb11bb85c03a398dab7b03ee2e619b9988e153afc41f7d909dc2a4d380,python,23,14,9,52
NB_41622e0a20b565ad325b954ff5c12f5bb410567220bab4b65b90183c4c50dacd,others,69,36,33,39
NB_4165a4abcec3904410e39bd3e207daa12a21127eb543d3a886b5521250cabf2a,python,25,23,2,5
NB_fc62a822277fdcefd9a6f2294244cfd4abedf339213449bc32d54b8ba47bb13a,others,0,0,0,0
NB_8196926bbd139761730a406d080b71893828740d46d71ff914378c4c6caa556c,python,18,8,10,93
NB_4d4255230251ac36815a4d199faa331ab2657904a5692453714c9304bb5bb784,python,31,22,9,36
NB_b3455c499e834eddd14c2a652aceb357ac151a2219fd08c5104d23ce70e4b7fd,python,90,42,48,58
NB_faeaf0bdd561c2f72e564a0992327bf0b5f94f50b1cf0fa2d826f3cc7c983089,python,11,5,6,33
NB_b1f3f3b8a98ed10cd14649a77031e4640d6fa9b36a276bf63408263767f8a8d8,python,34,31,3,3
NB_05ddee656fb057f1d5b873859e4f9e1d060ab608155d1b1be63c6a635c683fdb,python,23,9,14,52
NB_9c4b451dc1a35bbddfef62207bfb0d21d6ae76c5a326d977a929e9360f81c962,python,13,7,6,51
NB_71580ce771d525322900e724f280f81590b05ced37bf4f282ee7db61114c14e8,python,22,10,12,212
NB_8e3bafb75df4a391692ca347d1d96214db1ad36e524c33f0de008d3280d54c06,python,16,10,6,6
NB_27711c96726bde9cca5ff65dcff367e00a933743131327b3bffc366361a0a7cf,python,15,10,5,66
NB_61e9f5c9ef19373b2f8e1379496cace3c7e34f3c48fe7bb46e4ab29ca83bea80,python,1,1,0,0
NB_d9e6a28ea93ac3de77d08aa1a58435653a4b135a22208804f7cac409fa066674,python,6,6,0,0
NB_29595e166949450b5e740b23a8577ed29dc249cda47290cd0794fcd09fc2ed62,python,19,19,0,0
NB_e1fc444065fd8c3223ef8617dac61b5cc39048f1554950e80ebb41939db13836,python,1,1,0,0
NB_f6b9c75dcbbe6e48892288683aed29d779aaa6914f40d368c3257319fe319465,python,11,6,5,7
NB_c190f77c1766e8078d111a45ab81cb60ceb7ecb8b8e55c132e7611979c3cfcf3,others,70,50,20,31
NB_708167eb8bc89536201cf179d12334dcc3f855331db3957131128b3b3481a1c9,others,54,44,10,10
NB_15b7dbdd1137d6f8b8a2aa1aec043d6a4c05d636ae0814c3f381837af0082a5d,python,46,19,27,27
NB_8028e8ae670bb59ba91cddb0d9e6382a12c9e5b208e4d7943d89614a4532ea2e,others,61,59,2,2
NB_45f84a88b779a1ae30d8f51be77ea3f74bd268fd0eed64c469d8fca26b7d6401,python,23,13,10,69
NB_767546017ee21a4b7cfdb5e2a156307a43e72d6037668ce22904ca4b1dee5653,others,39,17,22,22
NB_58c1a9efe42d43f2b42e8095490f5714eaab990f1b3faebca26286eb3752c351,python,2,1,1,1
NB_081eeb5ad7e8bf5c8271047d613eff8cc507f9a193f04142793c38036865e011,python,30,17,13,57
NB_77a8057624ca129facebba9680989079e8e95be566db04776c02b1e7fbc66c20,python,21,21,0,0
NB_aff297223dcef3e0b5498655ccff07f9d2ac1817624a14953e23a776409e7db7,python,12,11,1,1
NB_6aea8d3a703582b1f77b4b44d277dde5cf986f76cdf19261edb9b335bfc99025,python,37,18,19,19
NB_0f90bd6128b0681045b16be05332a2f23b6fc7aa45afb605fb9d3121aa3c5738,python,15,15,0,0
NB_4abc83f1092a74ed2b0cec39fa26c58bc4ab9c609da50a73166731697a84d49e,python,52,42,10,26
NB_a5a0505d9d7b4a9449c2e9a95d6c25b3109f33a16daf0dc4a26651f8f4a73605,python,42,22,20,35
NB_ca58c4d6c2012708c1aa0c173a562905e2ed0856cb60d13c4f2eb5d0993058ac,python,71,48,23,51
NB_1c771ab4bce04e1d6d36ac60340865b724b1f4b1f0f33672a8853f3c6d37c79a,python,16,9,7,30
NB_2fdcd99617b0a5d3ae6d5361abdf5c5dfee623a3f8b42564a4e8d4664a56b0cb,python,9,7,2,22
NB_c6aa1054436c70563f0a35e16594552522000d5550d9846671240492bbe3b398,python,3,3,0,0
NB_489faf86f77382383569f7b36e3e25c957e32487b2129329ae9043805c55a7ae,others,34,19,15,28
NB_4dc7b421108d2aa126dc8a6ca26f8815b38513ef07c80245cafc0d537cfe80cb,python,32,22,10,296
NB_b70e12c7078bc65ae2fd2d5894a1512042936596f7e0fe88a5db52aed73dcedd,python,10,5,5,7
NB_5577307ef497d546fa06c58461e494fa3cce4acb1f2c3f486f08a86cfa3f27b8,python,15,9,6,28
NB_fba38311c68949a09cc45cb1106ad6458bf1fde12571b14ae804133b444c4bfc,python,21,19,2,2
NB_1be2da00075f180bf5100d86221aff1bacc9c9441a13f2a58fce05c9851205f9,python,4,4,0,0
NB_b151e53736940539419f7be8e506838b018541917477f06bae1ee94f1061eb17,python,25,24,1,1
NB_c767826745de04e7f168eeac4c98a9494e0dc0c8c7d3f51d4e7cac7a5ac2e3e9,others,94,55,39,44
NB_307a2dd9508b9d24b3205bddcefd70c4653f3053708d311ca5305dfbb0cea894,others,28,26,2,2
NB_e9850c00c42df1ceb94bd6eadf5c168cb178b0fba4e2584ae8ea8158737f6287,python,60,55,5,25
NB_39a514841f0bd342b1586dbf3092f1f60ae23f7457a3e10c740f7cfacba3d6c7,python,31,13,18,38
NB_e5c83c4c8a6db3b5070a39cfcbebca91261afbb5bc86dd6064155ca0771c3691,python,80,51,29,37
NB_6b29782443119d982b697ecc5fe30441b812a3b521e7561aedb5fe49214fb925,python,38,34,4,4
NB_3378aac573ecd3d23c463184206726cf44b51dbe531c8126ca6cccd941b9fc13,python,53,43,10,13
NB_c017dfc4403bbc00ceb467a163e504c345ef30caf35daf26a12d28d53035ca5e,python,35,18,17,38
NB_15da77227ca544beaf586caf545f0716c6225121a1e473fe446a63d9c67a73a9,others,27,22,5,5
NB_58c5e0de0deb44123c5a966457c1bcf2e9160a6aebabcc629cbc9894c5beee3e,python,20,10,10,9268
NB_50b0ef7f26ea5f0de525780123a707c1586a6e39be69030d1461638292b35be8,others,40,19,21,75
NB_2be7595beecec9f4515553f6525cb1cdd51658012dd5c55660bc2952e0c09ffb,python,21,10,11,112
NB_0741ab62a3fe1f4ece278d51fe03c31c72098de8ed4379ac27b2190f4dcbf641,python,114,65,49,155
NB_9d73ab0e2a5d09fa87ebbf4d84c2aedbd9a1d2000de5260f445f4eb943754a56,python,10,6,4,4
NB_a2e3c78e69cd0af95f95e260b1d7bb01772ab916775b1005b341e851de05e949,python,33,33,0,0
NB_59e4dea17b9ef0c8517ec0917bcf913ff9aaebdefb132da600d119b8802e0a6a,python,196,160,36,36
NB_f480e525ffb72ceb803b03b233a5df57d5b3fa44b981b2e9f14fc5ca97a8239d,python,87,54,33,95
NB_06bcd426c57820e59bfd02d8b032124bf8d8a5d5d8cebfbe57b251e985bbb037,python,49,26,23,293
NB_83166fd4da3f3d74202621a25b7c059654ec40736f36f2164f2505c0fc3311a1,python,2,1,1,36
NB_75cc54b1c96249b1a2ccb7104fb3da3c26d846c5758207b7176ff5f38fbde401,python,13,5,8,186
NB_5cda4911ac181fa194c7d9ca6914313d839e74dcd5a872e2e1941ab676a2dc5a,others,0,0,0,0
NB_e4742e0a726dacc2be39a63d5299b8bf7bba1ef8ce794e999004885dfd281850,python,32,16,16,159
NB_df7cf81b06c3f8fbcab147e6549924d42122510ad6ea76f1140e7b44ac57a8cb,python,5,5,0,0
NB_acfc7be7e5702a52253ccbf23cf5d794c95a1f4ce3edf35ab67859d1039e9478,python,14,9,5,9
NB_338b66c5c2240a79c3c91447af47e19cbe6c3d12071c54d9160451a75ac4be98,python,66,45,21,69
NB_d27ff2b466033b929dd5af57c92cea73f0678850c1f829ac77a1f611c312ffeb,python,58,37,21,81
NB_0e690547ce73697428dec182adfc0c09e1842d672119f2944bed38da29006c06,python,18,18,0,0
NB_a5385b8b5ddd1564d91b85fa24df385047ff6a710e545578355367f18fdc452b,python,49,28,21,23
NB_b875642addba501bf521b28dfc04013dc579a91a2c65344c965f1117eb09b4e0,python,12,7,5,5
NB_05f33cbe63b7eb2ece0b036da6bd6e1975803a7aca63d0fe271c3400a54fac28,python,12,6,6,98
NB_819e85a64b2428445d302f9de4c0a7220a88079f31107fb0a852296e32f86440,python,3,3,0,0
NB_66ed4937502528805bbb2746510e83ff0c164904f0087eb3a764dce25e87ae5e,python,26,16,10,46
NB_3c1fd387121990f20855d97d85bac0bd2489a428a16b4634cdf84b6dfbd89512,python,5,5,0,0
NB_64301355ca8a61a9c72f2481baa9200cfe3e4a2f1d0355048ea917ef1976f70b,python,253,204,49,62
NB_2772935277d4684991c018586f670365d2b919018573be9d488fe88574f10199,python,3,3,0,0
NB_dfef20fbaad135ac5f73964f5986ab855b38a957c29f492e3a0443bf5c4326eb,python,7,7,0,0
NB_9d624fc7cf7779f3ad3075927c4fa203331bc2dec3103d5980949ef6555f1ae8,python,117,85,32,483
NB_f937f437ee33f51a23ea88aeac02ff46de556122eb0406b725af2547bb07ed96,python,2,2,0,0
NB_98303de35cd55ed282da18a5989c45dbd1cfe17a221b5c4711c5c28fef917505,python,17,8,9,11
NB_ce0082d3efde4206c84e7038c3612634c953ca8566938cd67cf5b659dfbb0977,python,24,13,11,37
NB_6956bff8fdca8817c39acd03981d09e96563bdc439c4a91d3d9e1c8222ee9bfb,python,36,36,0,0
NB_5dbb431596ba79a0b492d9c9d55d657c4f4e0f04865309e04f6ca54d12be888c,others,21,21,0,0
NB_1129f76b6fdd7d6e3aaf8538cb3515ad0945cc709cf6fe8e2e6d14347711e593,python,8,4,4,8
NB_c47a050c76808d294f40dbc0ec63cace25864a46a7920366db3f6ea5ed8e2df4,python,12,6,6,24
NB_2c84ed96881b58555bc73d3d7354bba2480892e3c5d5fb856815019c18f10e0c,python,13,7,6,6
NB_51767067b9b695e23cc06f4f7fb3739dcce355e4514d4620bc2786246a9aa42d,python,12,11,1,1
NB_2b2696d4c51751246ee2cd39dc1bbe518ee152b58ce1fda08ab324a6b6617afa,python,8,8,0,0
NB_46b50fcbc8ddb55d0ffc37fc323a79d7948911b73f073f413f8d47529038bb18,python,20,12,8,16
NB_e164dc0ee6ba380ce71b74d48a4038963c4c11b62801054d1eba10a914298520,python,32,18,14,14
NB_1810026de3914d016ef8411fd00cd80e5d7dd8ac9287615f06521fdba23a63b0,python,56,56,0,0
NB_01e9c598d7d1f2c2f2258bf2342fefacd6c579bf22034007c66a9ef28934755c,python,10,4,6,139
NB_1b7d3e1e72a26ca04bf830ae2f9f4000b6c32fe0941fe44edd300f8decfd85a9,python,9,8,1,1
